#,,"generated_by='OpenQuake engine 3.10.1', start_date='2021-02-15T11:43:20', checksum=3598449318, investigation_time=50.0, imt='AvgSA', smlt_path='b1', gsimlt_path='b1_b31_b21_b71_b51_b41_b61', lon=12.38900000000001, lat=43.111, mag_bin_edges=[4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0], lon_bin_edges=[9.925214499106739, 12.38900000000001, 14.852785500893281], lat_bin_edges=[41.31236, 43.111, 44.909639999999996], eps_bin_edges=[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0], tectonic_region_types=['Active Shallow Crust', 'Shield', 'Stable Shallow Crust', 'Subduction Deep', 'Subduction Inslab', 'Subduction Interface', 'Volcanic'], poe=0.10008182625034245"
mag,dist,poe
7.75000E+00,5.00000E+00,1.03620E-03
7.75000E+00,1.50000E+01,5.14510E-04
7.75000E+00,2.50000E+01,2.19491E-04
7.75000E+00,3.50000E+01,2.47477E-04
7.75000E+00,4.50000E+01,1.66594E-04
7.75000E+00,5.50000E+01,1.12384E-04
7.75000E+00,6.50000E+01,8.15484E-05
7.75000E+00,7.50000E+01,4.54769E-05
7.75000E+00,8.50000E+01,3.41787E-05
7.75000E+00,9.50000E+01,1.78867E-05
7.75000E+00,1.05000E+02,1.08561E-05
7.75000E+00,1.15000E+02,6.82406E-06
7.75000E+00,1.25000E+02,4.27436E-06
7.75000E+00,1.35000E+02,2.46239E-06
7.75000E+00,1.45000E+02,1.59432E-06
7.75000E+00,1.55000E+02,1.46530E-06
7.75000E+00,1.65000E+02,8.06291E-07
7.75000E+00,1.75000E+02,7.27541E-07
7.75000E+00,1.85000E+02,4.14900E-07
7.75000E+00,1.95000E+02,1.22391E-07
8.25000E+00,5.00000E+00,0.00000E+00
8.25000E+00,1.50000E+01,0.00000E+00
8.25000E+00,2.50000E+01,0.00000E+00
8.25000E+00,3.50000E+01,5.11495E-07
8.25000E+00,4.50000E+01,5.83029E-07
8.25000E+00,5.50000E+01,4.65993E-07
8.25000E+00,6.50000E+01,1.85499E-06
8.25000E+00,7.50000E+01,1.38934E-06
8.25000E+00,8.50000E+01,1.50712E-06
8.25000E+00,9.50000E+01,1.98699E-06
8.25000E+00,1.05000E+02,1.17250E-06
8.25000E+00,1.15000E+02,1.38806E-06
8.25000E+00,1.25000E+02,1.21906E-06
8.25000E+00,1.35000E+02,9.98051E-07
8.25000E+00,1.45000E+02,6.76487E-07
8.25000E+00,1.55000E+02,6.65456E-07
8.25000E+00,1.65000E+02,5.75702E-07
8.25000E+00,1.75000E+02,3.97360E-07
